"Category","Date","Related to Categories (1) (Expense Records)","Category-Select","Account","Amount","Name"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","28/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Long Term Investments","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",200000,"BOB FD"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","28/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Long Term Investments","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",9968.4,"GAIL Stocks"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","19/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Internal Bank Transfer","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""ef1abf91-0fb0-48aa-85fa-e4732326cb3d""}],""has_more"":false}",4587.03,"HDFC to KOTAK"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","23/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Mom","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1040,"MOM MYNTRA ORDER"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","25/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",250,"knee meds"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","25/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",300,"phone cover"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","25/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",250,"snacks and juice"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","24/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",682.98,"swiggy"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","23/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""d79b5be7-5f65-45f5-8a4d-7e7e96912c64""}],""has_more"":false}",189,"YOUTUBE SUBSCRIPTION"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","23/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Mom","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1300,"MOM MYNTRA ORDER"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","26/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Mom","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1100,"MOM chappal"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","21/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1200,"pizza at dicksha"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","21/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Medical","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",250,"hakeem on wednesday"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","21/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",5510,"cash taken"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","20/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",413,"salary sweets"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","19/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Internal Bank Transfer","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",63291.87,"Paytm to BOB"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","19/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Internal Bank Transfer","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""ef1abf91-0fb0-48aa-85fa-e4732326cb3d""}],""has_more"":false}",19548.97,"HDFC to BOB"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","28/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Internal Bank Transfer","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",50000,"BOB to PAYTM"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","18/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Long Term Investments","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""ef1abf91-0fb0-48aa-85fa-e4732326cb3d""}],""has_more"":false}",100000,"HDFC FD"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","03/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Internal Bank Transfer","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",200000,"Internal Bank Transfer to HDFC"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","17/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Long Term Investments","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""ef1abf91-0fb0-48aa-85fa-e4732326cb3d""}],""has_more"":false}",50000,"HDFC FD"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","18/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Long Term Investments","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""ef1abf91-0fb0-48aa-85fa-e4732326cb3d""}],""has_more"":false}",250000,"HDFC FD"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","13/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",500,"fast tag"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","15/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",1000,"fast tag"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","10/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",4274,"petrol"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","10/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",500,"fast tag"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","10/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",2000,"hotel cappal"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","11/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",500,"fast tag"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","11/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",1317.75,"dominoz pizza "
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","12/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",1141,"hotel greenland in palanpur ( chinese receptionist)"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","10/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",88.5,"zerodha yearly amc"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","08/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",10000,"xfer to kotak"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","12/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",899,"snacks from outside hotel greenland"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","12/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",218,"pavan petroleum"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","11/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",2511,"petrol"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","13/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",4480,"———— om enterprise"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","13/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",370,"——— meera entrprise"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","11/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",4000,"hotel greenland in palanpur ( chinese receptionist)"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","11/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Internal Bank Transfer","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",10000,"send to paytm"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","14/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",2200,"aquatic pools hotel"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","14/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1002,"———— raj enterprise"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","14/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",3508.85,"petrol"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","14/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1250,"gallops food"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","15/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",4137,"ahemdabad artilla hotel"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","15/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1180,"ahemdabad lunch after meeting pandey sir"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","15/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1399.6,"petrol"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","16/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",410,"udaipur hotel dinner"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","16/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",3500,"udaipur hotel"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","12/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",2757.57,"jotwa petroleum"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","11/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1432,"hotel cappal"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","11/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",410,"sukh sagar bakery"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","09/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Trips And Lux","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",13300,"car tyres for trip"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","08/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",641,"snacks for trip"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","02/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","House Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",884,"ACT internet oct 2022 paid"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","02/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1799,"coveritup hoodies"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","03/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",4100,"hoodies - my + nimmi"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","04/12/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""ef1abf91-0fb0-48aa-85fa-e4732326cb3d""}],""has_more"":false}",848,"mom sunglasses"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","26/10/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Mom","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",20000,"MOM Investment"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","30/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",2800,"social engineering book"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","26/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",599,"fuck you nimmi’s neckchain"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","26/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","House Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",1000,"salary sweet"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","26/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","House Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",953,"pizza in car to jalmahal"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","26/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","House Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",200,"jalmahal ticket"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","25/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",682,"food on 25 nov, sabzi for rice"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","25/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",189,"youtube subscription"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","20/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",550,"Black t shirt"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","20/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Medical","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",3100,"MRI right knee - nekvinder"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","10/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""ef1abf91-0fb0-48aa-85fa-e4732326cb3d""}],""has_more"":false}",590,"HDFC Debit Card"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","17/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Monthly Pocket Money","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",5100,"Cash withdrawal"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","13/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",500,"car petrol class back n forth"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","13/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","House Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""57b09cf5-da06-4fa6-a0b1-b9cf86bbea97""}],""has_more"":false}",500,"cash for sabji on sunday "
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","12/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""b6a561fa-78fc-4e21-b90c-1efb1953c391""}],""has_more"":false}",405,"national food and chocolates"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","13/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""d79b5be7-5f65-45f5-8a4d-7e7e96912c64""}],""has_more"":false}",199,"amazon prime"
"{""id"":""%23Bmk"",""type"":""relation"",""relation"":[],""has_more"":false}","12/11/2022","{""id"":""Klft"",""type"":""relation"",""relation"":[],""has_more"":false}","Personal Expenses","{""id"":""c_uv"",""type"":""relation"",""relation"":[{""id"":""d79b5be7-5f65-45f5-8a4d-7e7e96912c64""}],""has_more"":false}",499,"netflix"
